Time, File, Conversion, Render, Resize, Total, Status
3/14/2019 1:20:54 PM, 100SlidePowerPointPres.ppt, 4255, 2, 12, 4269, Ok
3/14/2019 1:20:55 PM, 131814.xls, 772, 2, 7, 781, Ok
3/14/2019 1:20:55 PM, 1excel 2003.xls, 87, 2, 9, 98, Ok
3/14/2019 1:20:56 PM, 1PPT 2003.ppt, 401, 2, 8, 411, Ok
3/14/2019 1:20:56 PM, 1PPTX 2003.pot, 495, 2, 7, 504, Ok
3/14/2019 1:20:56 PM, 1Read only excel 2003.xls, 25, 2, 9, 36, Ok
3/14/2019 1:20:57 PM, 1Read Only Word 2003.doc, 1240, 2, 9, 1251, Ok
3/14/2019 1:20:57 PM, 1Template excel 2003.xlt, 33, 2, 9, 44, Ok
3/14/2019 1:20:58 PM, 1Word 2003 template.dot, 117, 2, 9, 128, Ok
3/14/2019 1:20:58 PM, 1Word 2003.doc, 57, 2, 9, 68, Ok
3/14/2019 1:20:58 PM, 2003PowerPointPres.PPT, 252, 2, 7, 261, Ok
3/14/2019 1:20:58 PM, 2016 32bit file_colors.docx, 170, 2, 9, 181, Ok
3/14/2019 1:20:58 PM, 2016 32bit file_colors_111.odt, 257, 2, 9, 268, Ok
3/14/2019 1:20:59 PM, 2018.05.25.00.03.04(1).xlsx, 209, 2, 9, 220, Ok
3/14/2019 1:20:59 PM, 2018.05.25.00.03.04.xlsx, 75, 2, 9, 86, Ok
3/14/2019 1:20:59 PM, 29 pages.docx, 113, 2, 9, 124, Ok
3/14/2019 1:21:01 PM, 3 - PrepareForMigration.ppsx, 0, 0, 0, 0, Error
3/14/2019 1:21:02 PM, 3_original.xls, 487, 2, 9, 498, Ok
3/14/2019 1:21:02 PM, 479 Pages.doc, 175, 2, 9, 186, Ok
3/14/2019 1:21:02 PM, 4_original.xlsx, 12, 2, 9, 23, Ok
3/14/2019 1:21:02 PM, 5_original_2007template.xltx, 233, 1, 9, 243, Ok
